Silpi Köyünde	НАРСПИ
Mart ayı sonlarında	Пуш уйӑхӗн вӗçӗнче
Güneş bakar sıcacık	Хӗвел пӗхрӗ ӑшатса
Çuvaş köyü Silpi’de	Силпи чӑваш ялӗнче
Kar erir çabucacık	Юр ирӗлчӗ васкаса
Kara tepeler  dağlar	Тусем сӑртсем хупхура
Karı eridiğinden	Юрӗ кайса пӗтнӗрен
Yeşerir güçlü otlar	Тухать курӗк çӑn çӑpa
Güneş ısıttığından	Хӗвел хытӑ хӗртнӗрен  
Soğuk  kötü kış biter	Сивӗ хаяр хӗл иртет
Gider üzüle üzüle	Каять йӗрсе хурланса
Soğuk gözyaşı döker	Сивӗ ку ççу лӗпе йӗрет
Üzülür geçen güne	Иртн ӗ кунш ӑн хуйх ӑрса
Irmaklarla  çaylarla	Путӑксемпе варсемпе
Su akıp gürüldüyor	Çӗмӗpӗлce шыв кӗрлет
Ne kadar ağlasa da	Анчах мӗнле йӗрсен те
Gün yaktıkça yakıyor	Хӗвел хӗртнӗçем хӗртет
Kışın gözyaşlarıdır	Хӗл ку ççу лӗ шавласа
Akıp giden ırmakla	Юхса кайрӗ çbipмapa
Sokaklarda  her yerde	Ачи пӑчи выляса
Şimdi çocuklar oynar	Чупса çўрет урамра
Geldi güzel ilkbahar	Килчӗ ырӑ çуркунне
Geldi adı ısıtıp	Килчӗ ячӗ ӑшӑтса
Güneş dünyayı sever	Хӗвел савать тӗнчене
Uykusundan kaldırıp	Хӗл ыйхинчен вӑратса
Kara orman dirilir	Тӗттӗм вӑрман чӗрӗлет
Yeşilleri giyinir	Ешӗл тумтир тӑхӑнать
Bozkır bile yeşerir	Çeçeнxnp те ешерет
Görkemiyle övünür	Илемӗпе мухтанать
Türlü türlü çiçekler	Тӗрлӗ тӗрлӗ чечексен
Güzel kokular saçar	Ырӑ шӗрши сарӗлать
Her yanda türlü kuşlar	Пур çӗрте те кайӑксен
Güzel şarkılar söyler	Лайӑх юрри янӑрать
Bulutların altında	Çyлтe пӗлӗт айӗнче
Tarla kuşları öter	Тӑри юрри илтӗнет
Yumuşacık çimlerde	Çeмçe курӑк çийӗнче
Koyun  kuzu oynaşır	Путек cypӑx сиккелет
Sürüsünün başında	Хӑй кӗтӗвӗ патӗнче
Bir çocuk kaval çalar	Ача шӗхличӗ калать
Karnı çok acıkmış ki	Хырӑмӗ пит выçнипе
Silpi’ye doğru bakar	Силпи ялнелле пӑхать
Silpi köyü  zengin köy	Силпи ялӗ пуян ял
İçinde bir ormanın	Ларать вӑрман ӑшӗнче
Evler kır evi gibi	Кантур пекех çурчӗсем
Altında söğütlerin	Ват йӗмрасем айӗнче
Köyü çevreleyen çit	Ялӗ тавра укӑлча
Taze söğüt dalından	Çӗнӗ çатан укӑлча
Tarlalarda başaklar	Кив капанлӑ анкарти
Bahçelerde yemişler	Тӗрлӗ çимӗçлӗ пахча
Geniş sokak boyunca	Аслӑ урам тӑрӑшшӗпе
Evler ahşap çatılı	Хӑма витнӗ çурчӗсем
Çitsiz yeşil bahçeler	Урам икӗ айӑккипе
Sokakta karşılıklı	Ем ешӗлех сачӗсем
Evlerin avluları	Çypтceм тавра килкарти
Taş duvarla çevrili	Чул хўме пек çавӑрнӑ
Kapıları sarıdır	Capӑ хапха килсерен
Tepeleri nakışlı	Чӗнтӗрленӗ тӑрӑллӑ
Silpi köyü  büyük köy	Силпи ялӗ аслӑ ял
Uzaktan şehir sanki	Хула тейӗн инçетрен
Burası Çuvaşların	Ахӑр кунти чӑвашсен
Malı mülkü herşeyi	Мулӗ пур тӑр çав вӗсен
Bir ırmak gürüldüyor	Çbıpмa юхать кӗрлесе
Büyük köyün yanında	Аслӗ ялӗн çумӗпе
Güneş nakış işliyor	Хӗвел тӗрӗ тӗрлесе
Oynayıp sularıyla	Вылять унӑн шывӗпе
Berrak suyun içinde	Тӑрӑ шывӑн ӑшӗнче
Mavi bulut kıvrılır	Кӑвак пӗлӗт явӑнать
Koca söğüt eğilir	Ватӑ йӑмра тайӑлса
Yansısına sevinir	Тӗсне пӑхса савӑнать
İşte köprü üstünde	Акӑ кӗпер çийӗнче
Bir ihtiyar oltayla	Старик ларать вӑлтапа
Balıklan kandırır	Йӑпӑрт япӑрт пуллине
Yağlı bir solucanla	Улталасшӑн ӑманпа
Ve çocuklar yukarda	Ав ачасем çўл енче
Suda oynaşıyorlar	Шывра ишсе çўреççӗ
Balık tutan yaşlıyı	Пулӑ тытан ваттине
Nasıl da üzüyorlar	Хирӗçтерме пӗлеççӗ
İşte biri köprüde	Акӑ пӗр çын кӗперпе
Irmağı aşıp gider	Каçса пырать çырмана
Karşıya geçer geçmez	Çӑpмa урлӑ каçрӗ те
Ormana dalıp gider	Кӗрсе кайрӗ вӑрмана
Cennetteyim sanılır	Çӑтмax пекех туйӑнать
Silpi Çuvaş köyünde	Силпи чӑваш ялӗнче
Zaman çabucak geçer	Вӑхӑт иртни сисӗнмест
